DATE,PCE
2010-01-01,11202.495
2010-04-01,11302.955
2010-07-01,11383.596
2010-10-01,11453.368
2011-01-01,11497.12
2011-04-01,11508.95
2011-07-01,11543.975
2011-10-01,11563.89
2012-01-01,11647.297
2012-04-01,11667.753
2012-07-01,11691.414
2012-10-01,11738.007
2013-01-01,11814.326
2013-04-01,11848.089
2013-07-01,11896.258
2013-10-01,12001.027
2014-01-01,12044.203
2014-04-01,12159.899
2014-07-01,12280.086
2014-10-01,12421.595
2015-01-01,12516.902
2015-04-01,12603.053
2015-07-01,12691.79
2015-10-01,12743.411
2016-01-01,12839.618
2016-04-01,12903.306
2016-07-01,12993.064
2016-10-01,13060.061
2017-01-01,13160.475
2017-04-01,13225.743
2017-07-01,13315.382
2017-10-01,13460.902
2018-01-01,13558.373
2018-04-01,13630.967
2018-07-01,13693.79
2018-10-01,13736.572
2019-01-01,13758.331
2019-04-01,13875.705
2019-07-01,14033.222
2019-10-01,14125.274
2020-01-01,13885.947
2020-04-01,12671.879
2020-07-01,13813.007
2020-10-01,14008.054
2021-01-01,14328.593
2021-04-01,14809.081
2021-07-01,14924.311
2021-10-01,15086.943
2022-01-01,15123.357
2022-04-01,15219.86
2022-07-01,15277.569
2022-10-01,15323.98
2023-01-01,15510.201
2023-04-01,15548.526
2023-07-01,15646.695
2023-10-01,15781.367
2024-01-01,15856.867
